sample_path,group,total_params,changed_params,change_ops,feature_combo,matched_feature_combo,correct_trials,total_trials,accuracy
matplotlib/matplotlib.cbook.normalize_kwargs@3.4.3-3.5.0/matplotlib.cbook.normalize_kwargs#1YY/normalize_kwargs_kw_@3.4.3-3.5.0_L4_tempLst1.json,semantic,5,3,3,"(5,3,3)",no,25,25,1.0000000000
matplotlib/matplotlib.collections.AsteriskPolygonCollection.set_offset_transform@3.5.3-3.6.0/matplotlib.collections.AsteriskPolygonCollection.set_offset_transform#1YY/collection.set_offset_transform_transOffset___plt.gca__.transData_@3.5.3-3.6.0_L5_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,24,25,0.9600000000
matplotlib/matplotlib.colorbar.Colorbar.set_ticks@3.6.3-3.7.0/matplotlib.colorbar.Colorbar.set_ticks#1YY/cbar.set_ticks_ticks_@3.6.3-3.7.0_L7_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,20,25,0.8000000000
matplotlib/matplotlib.gridspec.GridSpec@2.1.2-2.2.0/matplotlib.gridspec.GridSpec#1YY/gridspec.GridSpec_2__2_@2.1.2-2.2.0_L3_tempLst1.json,nonsemantic,10,8,9,"(10,8,9)",no,15,25,0.6000000000
matplotlib/matplotlib.image.BboxImage@3.2.2-3.3.0/matplotlib.image.BboxImage#1YY/mpimg.BboxImage_bbox_@3.2.2-3.3.0_L6_tempLst1.json,semantic,9,1,1,"(9,1,1)",no,23,25,0.9200000000
matplotlib/matplotlib.patches.FancyArrowPatch@3.5.3-3.6.0/matplotlib.patches.FancyArrowPatch#1YY/FancyArrowPatch__0.2__0.2____0.8__0.8__@3.5.3-3.6.0_L3_tempLst1.json,semantic,12,10,10,"(12,10,10)",no,25,25,1.0000000000
matplotlib/matplotlib.patches.FancyBboxPatch@3.6.3-3.7.0/matplotlib.patches.FancyBboxPatch#1YY/patches.FancyBboxPatch__0.2__0.4___0.4__0.2_@3.6.3-3.7.0_L3_tempLst1.json,semantic,7,1,1,"(7,1,1)",no,23,25,0.9200000000
matplotlib/matplotlib.patches.Rectangle@3.5.3-3.6.0/matplotlib.patches.Rectangle#1YY/patches.Rectangle__0.1__0.1___0.4__0.3_@3.5.3-3.6.0_L3_tempLst1.json,nonsemantic,5,2,2,"(5,2,2)",yes,23,25,0.9200000000
matplotlib/matplotlib.patches.Shadow@3.4.3-3.5.0/matplotlib.patches.Shadow#1YY/patches.Shadow_patch__0.1__0.1_@3.4.3-3.5.0_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
matplotlib/matplotlib.path.Path.cleaned@3.4.3-3.5.0/matplotlib.path.Path.cleaned#1YY/path.cleaned__@3.4.3-3.5.0_L5_tempLst1.json,semantic,9,6,6,"(9,6,6)",no,25,25,1.0000000000
matplotlib/matplotlib.patheffects.SimplePatchShadow@1.4.3-1.5.0/matplotlib.patheffects.SimplePatchShadow#1YY/pe.SimplePatchShadow__@1.4.3-1.5.0_L5_tempLst1.json,semantic,6,3,3,"(6,3,3)",no,22,25,0.8800000000
matplotlib/matplotlib.testing.compare.calculate_rms@3.0.3-3.1.0/matplotlib.testing.compare.calculate_rms#1YY/mtc.calculate_rms_expectedImage__actualImage_@3.0.3-3.1.0_L6_tempLst1.json,semantic,2,2,2,"(2,2,2)",no,25,25,1.0000000000
matplotlib/matplotlib.use@3.2.2-3.3.0/matplotlib.use#1YY/matplotlib.use__Agg__@3.2.2-3.3.0_L2_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
networkx/average_clustering@1.5-1.6/average_clustering#1YY/nx.average_clustering_G_@1.5-1.6_L4_tempLst1.json,semantic,4,3,4,"(4,3,4)",no,17,25,0.6800000000
networkx/average_neighbor_degree@1.5-1.6/average_neighbor_degree#1YY/nx.average_neighbor_degree_G_@1.5-1.6_L4_tempLst1.json,semantic,4,3,5,"(4,3,5)",no,9,25,0.3600000000
networkx/average_shortest_path_length@1.4-1.5/average_shortest_path_length#1YY/nx.average_shortest_path_length_G_@1.4-1.5_L4_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,19,25,0.7600000000
networkx/betweenness_centrality@1.5-1.6/betweenness_centrality#1YY/nx.betweenness_centrality_G_@1.5-1.6_L4_tempLst1.json,nonsemantic,5,4,5,"(5,4,5)",no,15,25,0.6000000000
networkx/betweenness_centrality_source@1.4-1.5/betweenness_centrality_source#1YY/nx.betweenness_centrality_source_G_@1.4-1.5_L4_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,19,25,0.7600000000
networkx/closeness_vitality@1.4-1.5/closeness_vitality#1YY/nx.closeness_vitality_G_@1.4-1.5_L4_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,19,25,0.7600000000
networkx/clustering@1.5-1.6/clustering#1YY/nx.clustering_G_@1.5-1.6_L4_tempLst1.json,semantic,3,1,2,"(3,1,2)",no,2,25,0.0800000000
networkx/degree@1.5-1.6/degree#1YY/G.degree__@1.5-1.6_L4_tempLst1.json,semantic,2,1,2,"(2,1,2)",no,0,25,0.0000000000
networkx/edge_betweenness_centrality_subset@1.4-1.5/edge_betweenness_centrality_subset#1YY/nx.edge_betweenness_centrality_subset_G__sources__targets_@1.4-1.5_L6_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,17,25,0.6800000000
networkx/geographical_threshold_graph@2.0-2.1/geographical_threshold_graph#1YY/nx.geographical_threshold_graph_10__0.1_@2.0-2.1_L2_tempLst1.json,semantic,7,5,6,"(7,5,6)",no,13,25,0.5200000000
networkx/is_isomorphic@1.5-1.6/is_isomorphic#1YY/nx.is_isomorphic_G1__G2_@1.5-1.6_L6_tempLst1.json,semantic,5,3,5,"(5,3,5)",no,20,25,0.8000000000
networkx/networkx.betweenness_centrality@1.4-1.5/networkx.betweenness_centrality#1YY/nx.betweenness_centrality_G_@1.4-1.5_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,19,25,0.7600000000
networkx/networkx.closeness_centrality@1.4-1.5/networkx.closeness_centrality#1YY/nx.closeness_centrality_G_@1.4-1.5_L3_tempLst1.json,semantic,4,1,2,"(4,1,2)",no,5,25,0.2000000000
networkx/networkx.community.greedy_modularity_communities@2.8.8-3.0/networkx.community.greedy_modularity_communities#1YY/nx.community.greedy_modularity_communities_G_@2.8.8-3.0_L3_tempLst1.json,semantic,6,1,1,"(6,1,1)",no,25,25,1.0000000000
networkx/networkx.linalg.graphmatrix.adjacency_matrix@2.5.1-2.6/networkx.linalg.graphmatrix.adjacency_matrix#1YY/nx.adjacency_matrix_G_@2.5.1-2.6_L4_tempLst1.json,nonsemantic,3,1,2,"(3,1,2)",no,16,25,0.6400000000
networkx/networkx.min_weight_matching@2.8.8-3.0/networkx.min_weight_matching#1YY/nx.min_weight_matching_G_@2.8.8-3.0_L4_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
networkx/networkx.to_pandas_edgelist@2.8.8-3.0/networkx.to_pandas_edgelist#1YY/nx.to_pandas_edgelist_G_@2.8.8-3.0_L7_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,19,25,0.7600000000
networkx/networkx.union@2.8.8-3.0/networkx.union#1YY/nx.union_G__H_@2.8.8-3.0_L6_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,23,25,0.9200000000
networkx/set_edge_attributes@1.11-2.0/set_edge_attributes#1NN/nx.set_edge_attributes_G___color___values_@1.11-2.0_L5_tempLst1.json,nonsemantic,3,2,2,"(3,2,2)",no,24,25,0.9600000000
networkx/set_node_attributes@1.11-2.0/set_node_attributes#1NN/nx.set_node_attributes_G___color___values_@1.11-2.0_L5_tempLst1.json,nonsemantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
networkx/shortest_path@1.4-1.5/shortest_path#1YY/nx.shortest_path_G_@1.4-1.5_L4_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,18,25,0.7200000000
networkx/shortest_path_length@1.4-1.5/shortest_path_length#1YY/nx.shortest_path_length_G_@1.4-1.5_L4_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,18,25,0.7200000000
networkx/spectral_layout@1.5-1.6/spectral_layout#1YY/nx.spectral_layout_G_@1.5-1.6_L4_tempLst1.json,semantic,4,1,2,"(4,1,2)",no,3,25,0.1200000000
numpy/numpy.correlate@1.9.3-1.10.0/numpy.correlate#1YY/np.correlate_a__v_@1.9.3-1.10.0_L6_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
numpy/numpy.fix@1.12.1-1.13.0/numpy.fix#1YY/np.fix_x_@1.12.1-1.13.0_L6_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,22,25,0.8800000000
numpy/numpy.genfromtxt@1.9.3-1.10.0/numpy.genfromtxt#1YY/np.genfromtxt_f_@1.9.3-1.10.0_L4_tempLst1.json,semantic,23,19,20,"(23,19,20)",no,15,25,0.6000000000
numpy/numpy.histogram2d@1.23.5-1.24.0/numpy.histogram2d#1YY/np.histogram2d_x__y_@1.23.5-1.24.0_L4_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,20,25,0.8000000000
numpy/numpy.histogram@1.23.5-1.24.0/numpy.histogram#1YY/np.histogram_a_@1.23.5-1.24.0_L8_tempLst1.json,semantic,6,2,2,"(6,2,2)",yes,18,25,0.7200000000
numpy/numpy.histogramdd@1.23.5-1.24.0/numpy.histogramdd#1YY/np.histogramdd_sample_@1.23.5-1.24.0_L3_tempLst1.json,semantic,6,2,2,"(6,2,2)",yes,18,25,0.7200000000
numpy/numpy.isneginf@1.12.1-1.13.0/numpy.isneginf#1YY/np.isneginf_x_@1.12.1-1.13.0_L6_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,21,25,0.8400000000
numpy/numpy.isposinf@1.12.1-1.13.0/numpy.isposinf#1YY/np.isposinf_x_@1.12.1-1.13.0_L6_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,21,25,0.8400000000
numpy/numpy.ma.argsort@1.12.1-1.13.0/numpy.ma.argsort#1YY/np.ma.argsort_data_@1.12.1-1.13.0_L5_tempLst1.json,nonsemantic,5,1,2,"(5,1,2)",yes,15,25,0.6000000000
numpy/numpy.percentile@1.21.6-1.22.0/numpy.percentile#1YY/np.percentile_a___25__50__75__@1.21.6-1.22.0_L3_tempLst1.json,nonsemantic,7,1,2,"(7,1,2)",no,16,25,0.6400000000
numpy/numpy.quantile@1.21.6-1.22.0/numpy.quantile#1YY/np.quantile_a__q_@1.21.6-1.22.0_L9_tempLst1.json,nonsemantic,7,1,2,"(7,1,2)",no,15,25,0.6000000000
pandas/DataFrame.between_time@1.5.3-2.0.0/DataFrame.between_time#1YY/ts.between_time__0_15____0_45__@1.5.3-2.0.0_L4_tempLst1.json,semantic,6,4,5,"(6,4,5)",yes,15,25,0.6000000000
pandas/DataFrame.describe@1.5.3-2.0.0/DataFrame.describe#1YY/df.describe__@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
pandas/DataFrame.ewm@1.3.5-1.4.0/DataFrame.ewm#1YY/df.ewm_0.5_@1.3.5-1.4.0_L4_tempLst1.json,nonsemantic,10,2,2,"(10,2,2)",yes,15,25,0.6000000000
pandas/DataFrame.groupby@1.5.3-2.0.0/DataFrame.groupby#1YY/df.groupby___Animal___@1.5.3-2.0.0_L3_tempLst1.json,semantic,9,4,4,"(9,4,4)",yes,15,25,0.6000000000
pandas/DataFrame.info@1.5.3-2.0.0/DataFrame.info#1YY/df.info__@1.5.3-2.0.0_L6_tempLst1.json,semantic,6,1,1,"(6,1,1)",no,25,25,1.0000000000
pandas/DataFrame.mask@1.5.3-2.0.0/DataFrame.mask#1YY/s.mask_s___0_@1.5.3-2.0.0_L4_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,22,25,0.8800000000
pandas/DataFrame.reset_index@1.4.4-1.5.0/DataFrame.reset_index#1YY/df.reset_index__@1.4.4-1.5.0_L4_tempLst1.json,nonsemantic,7,3,3,"(7,3,3)",no,15,25,0.6000000000
pandas/DataFrame.rolling@1.4.4-1.5.0/DataFrame.rolling#1YY/df.rolling_2_@1.4.4-1.5.0_L4_tempLst1.json,nonsemantic,8,1,2,"(8,1,2)",no,15,25,0.6000000000
pandas/DataFrame.set_axis@1.5.3-2.0.0/DataFrame.set_axis#1YY/df.set_axis___a____b____c___@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,15,25,0.6000000000
pandas/DataFrame.take@1.5.3-2.0.0/DataFrame.take#1YY/df.take__0__3__@1.5.3-2.0.0_L4_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,16,25,0.6400000000
pandas/DataFrame.to_excel@1.5.3-2.0.0/DataFrame.to_excel#1YY/df1.to_excel__._output.xlsx__@1.5.3-2.0.0_L3_tempLst1.json,semantic,17,5,5,"(17,5,5)",no,22,25,0.8800000000
pandas/DataFrame.to_latex@1.5.3-2.0.0/DataFrame.to_latex#1YY/df.to_latex__@1.5.3-2.0.0_L3_tempLst1.json,semantic,22,20,20,"(22,20,20)",no,22,25,0.8800000000
pandas/DataFrame.to_stata@1.3.5-1.4.0/DataFrame.to_stata#1YY/df.to_stata__animals.dta__@1.3.5-1.4.0_L3_tempLst1.json,nonsemantic,12,2,2,"(12,2,2)",no,15,25,0.6000000000
pandas/DataFrame.where@1.5.3-2.0.0/DataFrame.where#1YY/s.where_s___0_@1.5.3-2.0.0_L3_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,25,25,1.0000000000
pandas/Index.copy@1.5.3-2.0.0/Index.copy#1YY/index.copy__@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,25,25,1.0000000000
pandas/Index.get_loc@1.5.3-2.0.0/Index.get_loc#1YY/unique_index.get_loc__b__@1.5.3-2.0.0_L3_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
pandas/Index.get_slice_bound@1.5.3-2.0.0/Index.get_slice_bound#1YY/index.get_slice_bound_start___left__@1.5.3-2.0.0_L6_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
pandas/Index.slice_indexer@1.5.3-2.0.0/Index.slice_indexer#1YY/idx.slice_indexer__@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
pandas/Index.slice_locs@1.5.3-2.0.0/Index.slice_locs#1YY/idx.slice_locs__@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
pandas/Series.describe@1.5.3-2.0.0/Series.describe#1YY/s.describe__@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,25,25,1.0000000000
pandas/Series.ewm@1.3.5-1.4.0/Series.ewm#1YY/df.ewm_0.5_@1.3.5-1.4.0_L4_tempLst1.json,nonsemantic,10,2,2,"(10,2,2)",yes,15,25,0.6000000000
pandas/Series.groupby@1.5.3-2.0.0/Series.groupby#1YY/ser.groupby___a____b____a____b___@1.5.3-2.0.0_L3_tempLst1.json,semantic,9,5,5,"(9,5,5)",no,15,25,0.6000000000
pandas/Series.mask@1.5.3-2.0.0/Series.mask#1YY/s.mask_s___0_@1.5.3-2.0.0_L4_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,23,25,0.9200000000
pandas/Series.rolling@1.4.4-1.5.0/Series.rolling#1YY/df.rolling_2_@1.4.4-1.5.0_L4_tempLst1.json,nonsemantic,8,1,2,"(8,1,2)",no,15,25,0.6000000000
pandas/Series.set_axis@1.5.3-2.0.0/Series.set_axis#1YY/s.set_axis___a____b____c___@1.5.3-2.0.0_L3_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,15,25,0.6000000000
pandas/Series.take@1.5.3-2.0.0/Series.take#1YY/df.take__0__3__@1.5.3-2.0.0_L4_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
pandas/Series.where@1.5.3-2.0.0/Series.where#1YY/s.where_s___0_@1.5.3-2.0.0_L3_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,25,25,1.0000000000
pandas/Styler.background_gradient@1.2.5-1.3.0/Styler.background_gradient#1YY/df.style.background_gradient__@1.2.5-1.3.0_L13_tempLst1.json,nonsemantic,9,4,4,"(9,4,4)",yes,15,25,0.6000000000
pandas/Styler.format@1.2.5-1.3.0/Styler.format#1YY/df.style.format____.2____@1.2.5-1.3.0_L4_tempLst1.json,nonsemantic,7,5,5,"(7,5,5)",yes,15,25,0.6000000000
pandas/Timestamp.fromordinal@1.5.3-2.0.0/Timestamp.fromordinal#1YY/pd.Timestamp.fromordinal_737425_@1.5.3-2.0.0_L2_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,22,25,0.8800000000
pandas/Timestamp@1.5.3-2.0.0/Timestamp#1YY/pd.Timestamp__2017-01-01T12__@1.5.3-2.0.0_L2_tempLst1.json,semantic,14,12,12,"(14,12,12)",no,19,25,0.7600000000
pandas/bdate_range@1.5.3-2.0.0/bdate_range#1YY/pd.bdate_range__1_1_2018____1_08_2018__@1.5.3-2.0.0_L2_tempLst1.json,semantic,11,2,3,"(11,2,3)",yes,15,25,0.6000000000
pandas/core.arrays.SparseArray@1.5.3-2.0.0/core.arrays.SparseArray#1YY/SparseArray__0__0__1__2__@1.5.3-2.0.0_L2_tempLst1.json,semantic,7,5,5,"(7,5,5)",yes,25,25,1.0000000000
pandas/date_range@1.5.3-2.0.0/date_range#1YY/pd.date_range__1_1_2018____1_08_2018__@1.5.3-2.0.0_L2_tempLst1.json,semantic,10,3,4,"(10,3,4)",yes,15,25,0.6000000000
